trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-124.08190586149034,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-154.54884797670536,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-201.24630392616967,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-113.75163866218544,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-151.06412760197318,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-105.00058673022528,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-58.638088526271204,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-141.9945954424886,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9950041652780258}",30,0,-139.6424546398234,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-197.20571651576338,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,8,-46.90404386301071,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-116.17493414828681,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-115.92471658987607,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,10,-135.8057609225844,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 3}",1
15,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-80.66504950124366,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-136.93040776726613,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",1
17,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-115.81662540105673,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-149.97554782510798,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-86.01558282882448,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-39.197635818409054,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-63.68250357503662,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-127.62345118208286,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,5,-32.86589030990546,"{0: 9, 1: 4, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-70.63805659946222,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-131.1906591947329,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-166.72600502857267,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-149.1437470255271,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-163.66357044807546,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.955336489125606}",25,17,-10.996801724828543,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.9523335698857134}",35,0,-162.05273075151072,"{0: 17, 1: 7, 2: 10, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-120.02157587396252,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-89.31982480519787,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-139.72100483240388,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
34,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-38.07077687403155,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-135.3265776349793,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-175.36302881869162,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-151.25057353890637,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-176.15366023169375,"{0: 11, 1: 7, 2: 3, 3: 2, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-82.66406081972332,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-47.217743866676244,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-100.03829404501532,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-22.690212678409075,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,0,-108.0430767645232,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-120.65857362836493,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-25.71027690047912,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-149.04032710261959,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-155.07814038673783,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8823328586101215}",25,9,-67.7316103234632,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-68.26102153191546,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,11,-3.6045929267260846,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,3,-85.51499567171255,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-106.3781439542074,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-69.4883853905505,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-96.90209156107885,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-114.50189605145252,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,13,0.8087957320659089,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-131.25333049529584,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8309406791001636}",35,0,-208.79587066608678,"{0: 23, 1: 3, 2: 2, 3: 4, 4: 3}",0
59,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-132.27194252801496,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-29.416759325631727,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,12,-102.76514805445606,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-133.9640988717119,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-90.68201195890508,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,0,-93.41953734510982,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-62.05807033507303,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,11,-5.330158226157877,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,8,-85.70144091232798,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-58.74520758057605,"{0: 9, 1: 8, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-78.4839073563014,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,5,-68.84806258833724,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7518057291408949}",25,0,-38.8331858747009,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-221.02452792759496,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
73,False,"{'a': 0.01, 'e': 0.7384685587295879}",30,0,-197.5759085900903,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
74,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-142.84129663281823,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,7,-9.549339396182319,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,-93.24381971663462,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-7.166169070969554,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-53.16496402551386,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,0,-122.50300291193982,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-85.9190681437688,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,22,10.691896829184117,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.674875760071267}",30,1,-156.48475796034475,"{0: 21, 1: 0, 2: 3, 3: 2, 4: 3}",1
83,False,"{'a': 0.01, 'e': 0.6674628258413081}",30,0,-48.943868394619585,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-72.68828811980734,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-70.8230796863591,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-70.59230072369573,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-78.40421150058091,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,15,5.804280094432984,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,-22.22092448306777,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-98.1417768472632,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6058201566434628}",30,1,-106.56213276245364,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-142.6175332597001,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
93,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,2,-33.26357859029583,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-39.15458970038269,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,7,-13.454309181541458,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,1,-20.072628134234936,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,0,-17.794352018130027,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5486898605815875}",30,19,-31.49289933281376,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5403023058681397}",30,14,-68.64114451152479,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,16,4.898363860083284,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5233659512516495}",30,0,-58.17769442722555,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,0,-63.85720123192862,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-77.77283939411002,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.49757104789172696}",30,12,-18.056597203183166,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-57.41915324600364,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,12,10.38827355495204,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,5,14.328576791728064,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,6,-6.232685127723711,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,10,4.429329971649948,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,6,13.200893549464686,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,6,-19.965211097575065,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,1,-61.5598296896066,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,11,8.867509368492057,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,7,15.838592391799548,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,8,-78.13037905921234,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
116,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,8,15.337158556875607,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,12,-20.20097209260424,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.371659872260533}",20,9,-12.948849719263375,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,12,17.250401444617605,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,0,-102.69296768549285,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
121,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,9,-28.449884328634674,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-21.713998826411427,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,14,-8.242408335456924,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.3153223623952687}",35,8,-21.66697718270528,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,6,10.298812491964313,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,16,9.029242543539032,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,8,0.3542152765896309,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,8,17.917128573704247,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,0,28.489550035138265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,0,3.8330312978456567,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,12,-1.5830043216022887,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,16,5.142926868970811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.22875280780845939}",30,13,10.754587013796666,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,16,16.7278242816987,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,19.9765191693153,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,0,7.633671088361207,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
