trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-213.1809445011939,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,8,-101.8645186924807,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,7,-63.68606828794163,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-117.70172619717073,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-126.46968707262853,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-176.46748162280247,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-121.45647236597652,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-163.36753226040426,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-33.65758407591188,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-102.87061451502294,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-146.9932971664112,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-44.73851551202454,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-97.41877194633736,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-73.98981288547782,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-82.27971031815648,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-30.13438859706275,"{0: 9, 1: 7, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-136.4856514538644,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-95.31630672969413,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-90.48456766933228,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-60.858593018202576,"{0: 17, 1: 6, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-89.6342384139601,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-233.46803015997327,"{0: 13, 1: 1, 2: 4, 3: 4, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,14,-52.24076030917167,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-157.38041748594398,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-180.65558803279538,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,15,-123.38114900658083,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 3}",1
7,True,"{'a': 0, 'e': 0}",20,0,-34.94999287775829,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,3,-112.96206155888821,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,0,-73.59859803450246,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-139.38206514244044,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
