trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-10.074223986464087,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.18683527015578,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.55041111342693,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.12455732123875,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.41367763697129,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.76490544761702,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.75810364602481,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,10,-19.054812305380604,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.69291997062877,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.7228033896209,"{0: 14, 1: 5, 2: 7, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-74.16704454880838,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.84784694516051,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.51998367760555,"{0: 10, 1: 3, 2: 11, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,5,-138.24443415993358,"{0: 6, 1: 2, 2: 4, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.40353270357065,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.11312824056583,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.5409483852891,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.04550655351827,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.21259015771238,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.20993331916526,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.47093488758277,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.8139823316563,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 3}",0
23,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.63714976211726,"{0: 20, 1: 1, 2: 5, 3: 4, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,3,-90.08573636282189,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.66856366367115,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.07576705821158,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.21148733450408,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.30985529468214,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.7019152356044,"{0: 13, 1: 8, 2: 5, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.87549538158885,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 1.0}",35,0,-199.9324399613246,"{0: 24, 1: 4, 2: 2, 3: 1, 4: 4}",0
32,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.03355091317228,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 1.0}",20,10,-72.66122731447818,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1
34,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.88823116377954,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.9711956653467,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.8873826823187,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.47311578779636,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.43384811512237,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
39,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.20442104055155,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 1.0}",20,0,-204.00021359293376,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
41,False,"{'a': 0.5, 'e': 1.0}",30,0,-241.94604147827218,"{0: 13, 1: 1, 2: 11, 3: 3, 4: 2}",0
42,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.901117725233,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.02950910367232,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.01607550155553,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.01046281053332,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",35,0,-244.2272498913601,"{0: 21, 1: 0, 2: 9, 3: 1, 4: 4}",0
47,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.60361003643155,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.18480316914835,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
49,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.34367392772443,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.67912547029895,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 1.0}",25,3,-208.14432448562746,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 3}",1
52,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.30351809349425,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.33621037850996,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
