trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.65906299731756,"{0: 12, 1: 5, 2: 10, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9}",20,0,-99.57018937476187,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.81}",20,0,-11.130259366917473,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7290000000000001}",35,17,-71.23069938059865,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.6561}",20,0,-40.839042349153175,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,0,-116.37386919950042,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.531441}",30,0,-160.1701160705675,"{0: 15, 1: 7, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.4782969000000001}",35,0,-79.81404743337953,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.4304672100000001}",20,0,-123.22296343198153,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.3874204890000001}",30,7,-40.51289069787161,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.3486784401000001}",20,0,-163.8736501463673,"{0: 7, 1: 2, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.31381059609000006}",30,0,-115.93721181798573,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.2824295364810001}",25,0,-236.49727211329196,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.2541865828329001}",25,0,-155.8755854728738,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.2287679245496101}",20,0,-100.84124638264275,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.20589113209464907}",20,0,-103.15209785978573,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.18530201888518416}",25,7,-45.85067606833668,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.16677181699666577}",25,0,-116.70042487428006,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.15009463529699918}",25,0,-75.9730375567562,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.13508517176729928}",30,0,-215.4377610322401,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-96.44799399177435,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",35,12,-191.33598710243115,"{0: 11, 1: 2, 2: 4, 3: 4, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",25,0,-181.39172226943535,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-82.06076959114785,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-99.71728265280531,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",35,0,-152.29470003687058,"{0: 22, 1: 2, 2: 8, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-167.82739131088513,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-157.86974172314456,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",30,0,-112.68407847893018,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-100.44776837447252,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
